source_id,mapping_form,scenario_count,choice_list_count,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:83319,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:83410,COMBINATION,2,4,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:83411,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:83412,COMBINATION,2,4,False,False,2
track_a_v1.0:ICD9CM_TO_ICD10CM:83917,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85112,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85119,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85132,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85133,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85135,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85151,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85152,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85156,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85159,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85170,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85173,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
